Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
12	12	1991	-7.81	2.71	0.09	0.6630120374015961
13	12	1991	0.73	2.95	0.19	0.23043163049613308
14	12	1991	-2.02	3.05	0.15	0.5276339729164472
15	12	1991	-0.91	1.57	0.33	0.3445299974886639
16	12	1991	0.5	2.26	0.49	0.2788538609607075
17	12	1991	1.87	7.63	6.03	0.5137157676892419
18	12	1991	3.19	5.98	6.49	0.3662823298378648
19	12	1991	1.05	9.71	4.25	0.7738687939003434
20	12	1991	0.55	2.23	5.09	0.2249905282210145
21	12	1991	2.12	10.15	17.22	0.7269664303369926
22	12	1991	8.91	10.36	2.17	0.3808768808505403
23	12	1991	1.75	10.12	2.69	0.8023284865065935
24	12	1991	-2.52	4.08	0.04	0.6630320340212663
25	12	1991	-1.45	6.54	0.55	0.6729896060084114
26	12	1991	4.19	7.74	0.79	0.5111237868607175
27	12	1991	2.39	4.63	0.15	0.37019944403082544
28	12	1991	4.72	5.69	0.52	0.30171800955213257
29	12	1991	4.3	6.44	0.37	0.28403683799475543
30	12	1991	2.31	5.31	0.64	0.3675257689481799
31	12	1991	1.89	6.7	0.87	0.47802659635744904
1	1	1992	5.19	8.83	0.81	0.48659436142071244
2	1	1992	5.82	8.38	0.74	0.3419098432899724
3	1	1992	4.04	9.12	5.41	0.5155699430779366
4	1	1992	1.9	4.44	0.71	0.4002720868819353
5	1	1992	1.43	8.75	15.53	0.6712479121671618
6	1	1992	4.19	8.65	0.44	0.5833858153996798
7	1	1992	4.49	7.37	0.43	0.3533232555986035
8	1	1992	3.68	8.98	7.92	0.5692551470560157
9	1	1992	0.66	3.76	0.94	0.43138007504753084
10	1	1992	-2.9	2.71	0.06	0.6237654161804171
11	1	1992	-2.33	3.81	0.21	0.5992404323097051
12	1	1992	2.21	4.97	0.44	0.4759386954098459
13	1	1992	2.13	5.23	0.2	0.4903306037074173
14	1	1992	2.2	5.68	0.32	0.5429144015405349
15	1	1992	0.73	2.23	0.37	0.33458607910624477
16	1	1992	1.3	4.94	0.24	0.5581447224660369
17	1	1992	0.58	3.37	0.21	0.3366326747376984
18	1	1992	2.15	5.6	0.15	0.41598787612392146
19	1	1992	4.44	6.8	1.21	0.3492751689325376
20	1	1992	-2.08	5.51	0.24	0.7029121194560475
21	1	1992	-4.89	0.85	0.11	0.648400663973876
22	1	1992	-4.81	0.41	0.0	0.5571587503140419
23	1	1992	-6.5	0.01	0.06	0.6714887185211328
24	1	1992	-6.13	-1.44	0.1	0.45631021028075536
25	1	1992	-3.81	2.32	2.87	0.555161318781594
26	1	1992	-1.99	2.97	0.06	0.7361494380746574
27	1	1992	-3.95	1.95	0.2	0.6898000623907895
28	1	1992	-2.92	1.07	0.12	0.5647621996310384
29	1	1992	-3.44	2.23	0.14	0.7483581993236548
30	1	1992	-2.95	2.12	0.16	0.6630467127381299
31	1	1992	-5.54	2.53	0.01	0.9013263073770534
1	2	1992	-3.13	2.56	0.29	0.5852697378059046
2	2	1992	2.25	6.43	1.78	0.4646537548215012
3	2	1992	1.69	4.89	4.62	0.6174025360142716
4	2	1992	4.96	7.94	5.6	0.48710679103406157
5	2	1992	4.32	7.72	0.13	0.5290615941346207
6	2	1992	2.22	6.83	0.11	0.6790457625454474
7	2	1992	2.43	5.65	0.18	0.5753675832113335
8	2	1992	1.77	4.25	0.15	0.49223666456661896
9	2	1992	1.65	6.19	3.62	0.5833664633966027
10	2	1992	0.87	4.37	1.36	0.592243160742576
11	2	1992	0.9	7.14	0.29	1.1423718202674955
12	2	1992	2.26	9.45	3.65	0.8234743851463586
13	2	1992	2.41	5.15	1.45	0.6364609685686765
14	2	1992	2.6	7.65	3.99	0.6080096078967068
15	2	1992	1.44	6.8	1.05	0.8496260418110747
16	2	1992	-1.6	3.27	0.61	0.8722994291221366
